_id,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,purchaseDate,bonusPointsEarned,bonusPointsEarnedReason,pointsEarned,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
5ff1e1eb0a720f0523000575,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 0:00,500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",500,5,FINISHED,26,5ff1e1eacfcf6c399c274ae6
5ff1e1bb0a720f052300056b,1/3/2021 15:24,1/3/2021 15:24,1/3/2021 15:24,1/3/2021 15:24,1/3/2021 15:24,1/2/2021 15:24,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",150,2,FINISHED,11,5ff1e194b6a9d73a3a9f1052
5ff1e1f10a720f052300057a,1/3/2021 15:25,1/3/2021 15:25,NULL,1/3/2021 15:25,NULL,1/3/2021 0:00,5,All-receipts receipt bonus,5,1,REJECTED,10,5ff1e1f1cfcf6c399c274b0b
5ff1e1ee0a7214ada100056f,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 0:00,5,All-receipts receipt bonus,5,4,FINISHED,28,5ff1e1eacfcf6c399c274ae6
5ff1e1d20a7214ada1000561,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/2/2021 15:25,5,All-receipts receipt bonus,5,2,FINISHED,1,5ff1e194b6a9d73a3a9f1052
5ff1e1e40a7214ada1000566,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/2/2021 15:25,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,1,FINISHED,3.25,5ff1e1e4cfcf6c399c274ac3
5ff1e1cd0a720f052300056f,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,5,All-receipts receipt bonus,5,1,FINISHED,2.23,5ff1e194b6a9d73a3a9f1052
5ff1e1a40a720f0523000569,1/3/2021 15:24,1/3/2021 15:24,1/3/2021 15:24,1/3/2021 15:24,1/3/2021 15:24,12/27/2020 0:00,500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",500,1,FINISHED,10,5ff1e194b6a9d73a3a9f1052
5ff1e1ed0a7214ada100056e,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 0:00,5,All-receipts receipt bonus,5,5,FINISHED,20,5ff1e1eacfcf6c399c274ae6
5ff1e1eb0a7214ada100056b,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 0:00,250,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",250,3,FINISHED,20,5ff1e1eacfcf6c399c274ae6
5ff1e1c50a720f052300056c,1/3/2021 15:24,1/3/2021 15:24,1/3/2021 15:24,1/3/2021 15:24,1/3/2021 15:24,1/2/2021 15:24,100,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",100,1,FINISHED,1,5ff1e194b6a9d73a3a9f1052
5ff1e1a10a720f0523000568,1/3/2021 15:24,1/3/2021 15:24,1/3/2021 15:39,1/3/2021 15:39,1/3/2021 15:24,1/2/2021 0:00,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,5,FINISHED,50,5ff1e194b6a9d73a3a9f1052
5ff1e1b60a7214ada100055c,1/3/2021 15:24,1/3/2021 15:24,NULL,1/3/2021 15:24,NULL,2/3/2021 15:24,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",8850,10,FLAGGED,290,5ff1e194b6a9d73a3a9f1052
5f9c74f70a7214ad07000037,10/30/2020 20:17,10/30/2020 20:17,NULL,1/3/2021 15:24,10/30/2020 20:18,10/29/2020 20:17,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,11,REJECTED,1,5f9c74f7c88c1415cbddb839
5ff1e1b20a7214ada100055a,1/3/2021 15:24,1/3/2021 15:24,1/3/2021 15:24,1/3/2021 15:24,1/3/2021 15:24,2/3/2021 15:24,300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",300,1,FINISHED,1,5ff1e194b6a9d73a3a9f1052
5ff1e1e90a7214ada1000569,1/3/2021 15:25,1/3/2021 15:25,NULL,1/3/2021 15:25,NULL,NULL,NULL,NULL,NULL,0,FLAGGED,0,5ff1e1e9b6a9d73a3a9f10f6
5ff1e1df0a7214ada1000564,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/2/2021 15:25,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,2,FINISHED,11,5ff1e1dfcfcf6c399c274ab3
5ff1e1b40a7214ada100055b,1/3/2021 15:24,1/3/2021 15:24,NULL,1/3/2021 15:24,1/3/2021 15:24,1/2/2021 15:24,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,1,FLAGGED,1,5ff1e1b4cfcf6c399c274a54
5ff1e1eb0a720f0523000576,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 0:00,300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",300,2,FINISHED,26,5ff1e1eacfcf6c399c274ae6
5ff1e1c80a720f052300056d,1/3/2021 15:24,1/3/2021 15:24,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:24,1/2/2021 15:24,5,All-receipts receipt bonus,5,2,FINISHED,1,5ff1e194b6a9d73a3a9f1052
5f9c74f90a7214ad07000038,10/30/2020 20:18,10/30/2020 20:18,1/3/2021 15:39,1/3/2021 15:39,1/3/2021 15:39,10/29/2020 20:18,300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",389.2,6,FINISHED,14,5f9c74e3f1937815bd2c1d73
5ff1e1960a720f0523000567,1/3/2021 15:24,1/3/2021 15:24,1/3/2021 15:24,1/3/2021 15:24,1/3/2021 15:24,1/2/2021 15:24,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,1,FINISHED,1,5ff1e196cfcf6c399c274a38
5ff1e1ec0a7214ada100056c,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 0:00,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",150,2,FINISHED,21,5ff1e1eacfcf6c399c274ae6
5ff1e1d70a720f0523000571,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/2/2021 15:25,40,COMPLETE_PARTNER_RECEIPT,185,2,FINISHED,2,5ff1e194b6a9d73a3a9f1052
5ff1e1c60a7214ada100055e,1/3/2021 15:24,1/3/2021 15:24,1/3/2021 15:24,1/3/2021 15:24,1/3/2021 15:24,1/2/2021 15:24,5,All-receipts receipt bonus,5,2,FINISHED,1,5ff1e194b6a9d73a3a9f1052
5ff1e1ee0a7214ada1000570,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 0:00,5,All-receipts receipt bonus,5,5,FINISHED,27,5ff1e1eacfcf6c399c274ae6
5ff1e1cf0a720f0523000570,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/2/2021 15:25,5,All-receipts receipt bonus,5,2,FINISHED,1,5ff1e194b6a9d73a3a9f1052
5ff1e1e10a720f0523000572,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/2/2021 15:25,25,COMPLETE_NONPARTNER_RECEIPT,35,1,FINISHED,1,5ff1e194b6a9d73a3a9f1052
5ff1e1d40a7214ada1000562,1/3/2021 15:25,1/3/2021 15:25,NULL,1/3/2021 15:25,NULL,10/30/2017 0:00,NULL,NULL,NULL,3,REJECTED,3,5ff1e194b6a9d73a3a9f1052
5ff1e1ee0a720f0523000578,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 15:25,1/3/2021 0:00,5,All-receipts receipt bonus,5,4,FINISHED,27,5ff1e1eacfcf6c399c274ae6
5ff371030a7214ada10005a5,1/4/2021 19:48,1/4/2021 19:48,1/4/2021 19:48,1/4/2021 19:48,1/4/2021 19:48,12/20/2020 0:00,300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",650,10,FINISHED,10,5ff370c562fde912123a5e0e
5ff36dcc0a720f05230005b1,1/4/2021 19:34,1/4/2021 19:34,1/4/2021 19:34,1/4/2021 19:34,1/4/2021 19:34,1/4/2021 19:34,5,All-receipts receipt bonus,55,1,FINISHED,0.99,5ff36d0362fde912123a5535
5ff36c750a7214ada100058f,1/4/2021 19:28,1/4/2021 19:28,1/4/2021 19:28,1/4/2021 19:28,1/4/2021 19:28,1/3/2021 19:28,NULL,NULL,500,9,FINISHED,89.91,5ff36be7135e7011bcb856d3
5ff36d860a720f05230005a7,1/4/2021 19:33,1/4/2021 19:33,1/4/2021 19:33,1/4/2021 19:33,1/4/2021 19:33,1/3/2021 19:33,45,COMPLETE_PARTNER_RECEIPT,50,1,FINISHED,1,54943462e4b07e684157a532
5ff36d9f0a720f05230005ab,1/4/2021 19:33,1/4/2021 19:33,1/4/2021 19:33,1/4/2021 19:33,1/4/2021 19:33,12/19/2020 19:33,45,COMPLETE_PARTNER_RECEIPT,50,1,FINISHED,1,5ff36d0362fde912123a5535
5ff36adb0a720f0523000590,1/4/2021 19:22,1/4/2021 19:22,1/4/2021 19:22,1/4/2021 19:22,1/4/2021 19:22,12/30/2020 6:00,NULL,NULL,250,5,FINISHED,49.95,5ff36a3862fde912123a4460
